
1. Қоса беріліп отырған «Жер қойнауы және жер қойнауын пайдалану туралы» Қазақстан Республикасының 2010 жылғы 24 маусымдағы Заңын іске асыру мақсатында қабылдануы қажет нормативтік құқықтық актілердің тізбесі (бұдан әрі - тізбе) бекітілсін. 2. Мемлекеттік органдар: 1) тізбеге сәйкес нормативтік құқықтық актілердің жобаларын әзірлесін және белгіленген тәртіппен Қазақстан Республикасы Үкіметінің бекітуіне енгізсін; 2) тиісті ведомстволық нормативтік құқықтық актілерді қабылдасын және қабылданған шаралар туралы Қазақстан Республикасының Үкіметін хабардар етсін.

Премьер-Министр                                      К. Мәсімов

Қазақстан Республикасы Премьер-Министрінің 2010 жылғы 28 тамыздағы № 120-ө өкімімен бекітілген

«Жер қойнауы және жер қойнауын пайдалану туралы» Қазақстан Республикасының 2010 жылғы 24 маусымдағы Заңын іске асыру мақсатында қабылдануы қажет нормативтік құқықтық актілердің тізбесі


р/с№	|	Нормативтік құқықтық актінің атауы	|	Акт нысаны	|	Жауапты мемлекеттік органдар	|	Орындау мерзімі
53.	|	Келісімшарт бойынша жұмыстарды орындау үшін қажетті Қазақстан Республикасының аумағындағы ғылыми-зерттеу және тәжірибелік-конструкторлық жұмыстарға арналған шығыстарды айқындау ережесін бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	МГМ, ИЖТМ	|	2010 жылғы тамыз
54.	|	Келісім-шарттық аумақта немесе оның шекарасынан тыс жерде радиоактивті қалдықтарды, зиянды заттарды және сарқынды суларды көмуге арналған барлаумен немесе өндірумен байланысты емес жерасты құрылыстарын салу және (немесе) пайдалануға жер қойнауын пайдалану құқығын беру ережесін бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	ИЖТМ, Қоршағанортамині	|	2010 жылғы тамыз
55.	|	Өндіруші салалар қызметінің ашықтығы бастамасының талаптарына сәйкес, жер қойнауын пайдаланушының аудиторлық есептілікпен расталған есептілікті беру ережесін бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	ИЖТМ, МГМ	|	2010 жылғы тамыз
56.	|	Пайдалы қазбаларды барлау мен игеру жөніндегі орталық комиссия туралы ережені бекіту және оның құрамын бекіту туралы	|	ИЖТМ, МГМ бұйрықтары	|	ИЖТМ, МГМ	|	2010 жылғы тамыз
57.	|	Жер қойнауын пайдалану мәселелері жөніндегі сарапшылық комиссия туралы ережені бекіту туралы	|	ИЖТМ, МГМ бұйрықтары	|	ИЖТМ, МГМ	|	2010 жылғы тамыз
58.	|	Пайдалы қазбаларды барлау және өндіруге жер қойнауын пайдалану құқығын беру бойынша тікелей келіссөздер жүргізуші жұмыс тобы және оның құрамы туралы ережені бекіту туралы	|	ИЖТМ, МГМ бұйрықтары	|	ИЖТМ, МГМ	|	2010 жылғы тамыз
59.	|	Кең таралған пайдалы қазбаларды барлау және игеру жөніндегі өңіраралық комиссиялар туралы ережені бекіту туралы	|	ИЖТМ бұйрығы	|	ИЖТМ	|	2010 жылғы тамыз
60.	|	Қазақстан Республикасында дамытылатын басымдыққа ие жоғары технологиялық өндірістер тізбесін бекіту туралы	|	ИЖТМ бұйрығы	|	ИЖТМ	|	2010 жылғы тамыз
61.	|	Барлаумен немесе өндірумен байланысты емес жерасты құрылыстарын салу және (немесе) пайдалануға жер қойнауын пайдалану құқығын беру бойынша тікелей келіссөздер жүргізуші жұмыс тобы мен оның құрамы туралы ережені бекіту туралы	|	ИЖТМ бұйрығы	|	ИЖТМ	|	2010 жылғы тамыз
62.	|	Жер қойнауын мемлекеттік геологиялық зерделеу және мониторинг, мұнай-газ және гидрогеологиялық ұңғымаларды консервациялау, тарату бойынша жұмыстар жүргізуге байланысты жобалау-сметалық құжаттамаға экономикалық сараптама жүргізу ережесін бекіту туралы	|	ИЖТМ бұйрығы	|	ИЖТМ, МГМ, ҚТКШІА	|	2010 жылғы тамыз
63.	|	Жер қойнауын мемлекеттік геологиялық зерделеу және мониторинг саласындағы уақыт пен бағалау нормаларын бекіту туралы	|	ИЖТМ бұйрығы	|	ИЖТМ, Еңбекмині	|	2010 жылғы тамыз
64.	|	Кадрлардағы қазақстандық қамтуды есептеудің әдістемесін бекіту туралы	|	Еңбекмині бұйрығы	|	Еңбекмині, ИЖТМ, МГМ	|	2010 жылғы тамыз
65.	|	Кадрлардағы ең аз қазақстандық қамтуды есептеу тәртібін бекіту туралы	|	Еңбекмині бұйрығы	|	Еңбекмині	|	2010 жылғы тамыз
66.	|	Қазақстандық мамандарды оқыту бойынша қажеттіліктің ең аз деңгейін есептеу әдістемесін бекіту туралы	|	БҒМ бұйрығы	|	БҒМ, ИЖТМ, МГМ	|	2010 жылғы тамыз
67.	|	Оқытылуы тиіс қызметкерлердің жалпы санына қатысты қазақстандық кадрлардың ең аз пайыздық санын есептеу ережесін бекіту туралы	|	БҒМ бұйрығы	|	БҒМ, МГМ	|	2010 жылғы тамыз
68.	|	Жер қойнауын пайдалану құқығын беруге арналған конкурс талаптарына қосу үшін оқытуға жататын персоналдың жалпы санына пайызбен алғандағы қазақстандық кадрлардың ең аз санын білім және ғылым саласындағы уәкілетті органның құзыретті органға табыс етуі туралы ережені бекіту туралы	|	БҒМ бұйрығы	|	БҒМ, МГМ, ИЖТМ	|	2010 жылғы тамыз


Ескертпе: аббревиатуралардың толық жазылуы: ИЖТМ - Қазақстан Республикасы Индустрия және жаңа технологиялар министрлігі ММ - Қазақстан Республикасы Мәдениет министрлігі МГМ - Қазақстан Республикасы Мұнай және газ министрлігі БҒМ - Қазақстан Республикасы Білім және ғылым министрлігі АШМ - Қазақстан Республикасы Ауыл шаруашылығы министрлігі ККМ - Қазақстан Республикасы Көлік және коммуникация министрлігі ТЖМ - Қазақстан Республикасы Төтенше жағдайлар министрлігі Қаржымині - Қазақстан Республикасы Қаржы министрлігі ЭДСМ - Қазақстан Республикасы Экономикалық даму және сауда министрлігі Әділетмині - Қазақстан Республикасы Әділет министрлігі ҚТКШІА - Құрылыс және тұрғын үй-коммуналдық шаруашылық істері агенттігі Еңбекмині - Қазақстан Республикасы Еңбек және халықты әлеуметтік қорғау министрлігі Қоршағанортамині - Қазақстан Республикасы Қоршаған ортаны қорғау министрлігі

