
«Мемлекеттік мүлік туралы» 2011 жылғы 1 наурыздағы Қазақстан Республикасының Заңы 114-бабының 1-тармағына , «Ұлттық әл-ауқат қоры туралы» 2012 жылғы 1 ақпандағы Қазақстан Республикасының Заңы 4-бабының 2-тармағының 1) тармақшасына және 23-бабының 1-тармағына сәйкес Қазақстан Республикасының Үкіметі ҚАУЛЫ ЕТЕДІ : 1. Осы қаулыға қосымшаға сәйкес республикалық мүлік заңнамада белгіленген тәртіппен «Самұрық-Қазына» ұлттық әл-ауқат қоры» акционерлік қоғамының (бұдан әрі – Қор) орналастырылатын акцияларын төлеуге берілсін. 2. Қазақстан Республикасы Қаржы министрлігінің Мемлекеттік мүлік және жекешелендіру комитеті Қормен (келісім бойынша) бірлесіп, осы қаулыдан туындайтын шараларды қабылдасын. 3. Осы қаулы қол қойылған күнінен бастап қолданысқа енгізіледі.


Қазақстан РеспубликасыныңПремьер-Министрі	|	К Мәсімов



	|	Қазақстан РеспубликасыҮкіметінің2014 жылғы 26 желтоқсандағы№ 1383 қаулысынақосымша


«Самұрық-Қазына» ұлттық әл-ауқат қоры» акционерлік қоғамының орналастырылатын акцияларын төлеуге берілетін республикалық мүліктің тізбесі


Р/с№	|	Мүліктің атауы	|	Орналасқан жері	|	Өлшем бірлігі	|	Нөмір
метр	|	дана	|	түгендеу	|	тіркеу
1	|	2	|	3	|	4	|	5	|	6	|	7
97	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Балықшы кенті, Құрсай ауылы	|	586,4	|		|	АР0001420	|	11/04.35-1/10544 21.01.2011ж
98	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Балықшы кенті, Құрсай ауылы	|	565	|		|	АР0001421	|	11/04.35-1/9962 19.01.2011ж
99	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Балықшы кенті, Құрсай ауылы	|	847,8	|		|	АР0001422	|	11/04.35-1/15708 19.04.2011ж
100	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Балықшы кенті, Құрсай ауылы	|	378,4	|		|	АР0001423	|	11/04.35-1/10089 20.01.2011ж
101	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Балықшы кенті, Құрсай ауылы	|	455,6	|		|	АР0001424	|	11/04.35-1/10576 21.01.2011ж
102	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Балықшы кенті, Құрсай ауылы	|	378	|		|	АР0001425	|	11/04.35-1/10694 21.01.2011ж
103	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Балықшы кенті, Құрсай ауылы	|	232	|		|	АР0001426	|	11/04.35-1/9968 19.01.2011ж
104	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Балықшы кенті, Құрсай ауылы	|	308,2	|		|	АР0001427	|	11/04.35-1/10138 20.01.2011ж
105	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Балықшы кенті, Құрсай ауылы	|	88	|		|	АР0001428	|	11/04.35-1/10123 20.01.2011ж
106	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Балықшы кенті, Құрсай ауылы	|	568,4	|		|	АР0001429	|	11/04.35-1/10065 20.01.2011ж
107	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Балықшы кенті, Құрсай ауылы	|	349,6	|		|	АР0001430	|	11/04.35-1/10494 21.01.2011ж
108	|	Жерүсті газ құбырлары	|	Атырау облысы, Атырау қаласы, Балықшы кенті, Құрсай ауылы	|	221,8	|		|	АР0001431	|	11/04.35-1/10762 21.01.2011ж
