"Мемлекеттік мүлік туралы" 2011 жылғы 1 наурыздағы Қазақстан Республикасының Заңы 114-бабының 1-тармағына , "Ұлттық әл-ауқат қоры туралы" 2012 жылғы 1 ақпандағы Қазақстан Республикасының Заңы 23-бабының 1-тармағына сәйкес Қазақстан Республикасының Үкіметі ҚАУЛЫ ЕТЕДІ :

1. Осы қаулыға қосымшаға сәйкес газбен жабдықтау объектілері Қазақстан Республикасының заңнамасында белгіленген тәртіппен "Самұрық-Қазына" ұлттық әл-ауқат қоры" акционерлік қоғамының (бұдан әрі – қор) орналастырылатын акцияларын төлеуге берілсін.

2. Қазақстан Республикасы Қаржы министрлігінің Мемлекеттік мүлік және жекешелендіру комитеті қормен (келісу бойынша) бірлесіп, осы қаулыдан туындайтын шараларды қабылдасын.

3. Осы қаулы қол қойылған күнінен бастап қолданысқа енгізіледі.


Қазақстан РеспубликасыныңПремьер-Министрі	|	А. Мамин





	|	Қазақстан РеспубликасыҮкіметінің2021 жылғы 18 қаңтардағы№ 13 қаулысынақосымша

"Самұрық-Қазына" ұлттық әл-ауқат қоры" акционерлік қоғамының орналастырылатын акцияларын төлеуге берілетін газбен жабдықтау объектілерінің тізбесі

Р/с№	|	Мүліктің атауы  (жоғары, орта және төмен қысымды газ құбырлары мен олардағы құрылыс нысандары)*	|	Орналасқан жері (көше, ауыл, аудан, қала)	|	Түгендеу/кадастрлық нөмірі
7	|	"ОҚО, Мақтаарал ауданы, Жылысу ауылдық округінің Мырзашоқы елді мекенінде газ құбыры желілерін салу"	|	Жетісай ауданы, Жылысу ауылдық округі, Мырзашоқы елді мекені	|	19:288:058:054
8	|	"ОҚО, Мақтаарал ауданы, Қазыбек би ауылдық округі Әлкен Оспанов елді мекенінде газ құбырын салу"	|	Жетісай ауданы, Қазыбек би ауылдық округі, Ә. Оспанов елді мекені	|	19:288:058:047
9	|	"ОҚО, Мақтаарал ауданы Мырзакент ауылында жоғары қысымды газ жеткізу құбырын салу"	|	Мақтаарал ауданы, Мақтаарал ауылдық округі, Мырзакент ауылы	|	19:288:058:045
10	|	"ОҚО, Мақтаарал ауданы А. Қалыбеков ауылдық округі Үлгілі елді мекенінде газ құбырын салу"	|	Мақтаарал ауданы, А. Қалыбеков ауылдық округі, Үлгілі елді мекені	|	19:288:058:038
11	|	"ОҚО, Мақтаарал ауданы А. Қалыбеков ауылдық округі "Жаңа жол" елді мекенінде газ құбырын салу"	|	Мақтаарал ауданы, А. Қалыбеков ауылдық округі, Жаңа жол елді мекені	|	19:288:058:041
12	|	"ОҚО, Мақтаарал ауданы, Ш. Ділдәбеков ауылдық округі, Бірлік елді мекенінде газ құбыры желілерін салу"	|	Жетісай ауданы, Ш. Ділдәбеков ауылдық округі, Бірлік елді мекені	|	19:288:058:087
13	|	"ОҚО, Мақтаарал ауданы А. Қалыбеков ауылдық округі Жамбыл елді мекенінде газ құбырын салу"	|	Мақтаарал ауданы, А. Қалыбеков ауылдық округі, Жамбыл елді мекені	|	19:288:058:037
14	|	"ОҚО, Мақтаарал ауданы А. Қалыбеков ауылдық округіне газ жеткізу құбырын салу"	|	Мақтаарал ауданы, А. Қалыбеков ауылдық округі	|	19:288:058:087
15	|	"ОҚО, Мақтаарал ауданы, Ш. Ділдәбеков ауылдық округі Қызыл таң елді мекенінде газбен жабдықтау желілерін салу"	|	Жетісай ауданы, Ш. Ділдәбеков ауылдық округі, Қызыл таң елді мекені	|	19:288:058:084
16	|	"ОҚО, Мақтаарал ауданы, Ш. Ділдәбеков ауылдық округі, "Жамбыл" елді мекенінде газбен жабдықтау жүйелерін салу"	|	Жетісай ауданы, Ш. Ділдәбеков ауылдық округі, Жамбыл елді мекені	|	19:288:058:082
