
Қазақстан Республикасының Үкiметi ҚАУЛЫ ЕТЕДI : 1. «2010 – 2014 жылдарға арналған республикалық индустрияландыру картасы туралы» Қазақстан Республикасы Үкiметiнiң 2010 жылғы 14 сәуiрдегi № 303 қаулысына мынадай өзгеріс енгізілсін: көрсетілген қаулымен бекітілген 2010 – 2014 жылдарға арналған республикалық индустрияландыру картасы осы қаулыға қосымшаға сәйкес жаңа редакцияда жазылсын. 2. Осы қаулы қол қойылған күнiнен бастап қолданысқа енгiзiледi.

Қазақстан Республикасының Премьер-Министрi                                     С. Ахметов

Қазақстан Республикасы Үкіметінің 2013 жылғы 29 наурыздағы № 295 қаулысына қосымша

Қазақстан Республикасы Үкiметiнiң 2010 жылғы 14 сәуiрдегi № 303 қаулысымен бекiтiлген

2010 – 2014 жылдарға арналған республикалық индустрияландыру картасы


Р/с№	|	Жобаның атауы	|	Жауапты мемлекеттiк орган және ұлттық холдинг	|	Өңiр	|	Жобаға өтiнiш берушi	|	Iске асыру мерзiмi*/жобаның мәртебесі	|	2013 жылға инвестицияларды игеру жоспары, млн. теңге
48.	|	Хромтау қаласында жаңа ферроқорытпа зауытын салу (№ 5 цех)	|	ИЖТМ	|	Ақтөбе облысы	|	«Қазхром» трансұлттық компаниясы» АҚ	|	Перспективалық	|	-
49.	|	Тобыл кенті-Көкшетау қаласы-Астана қаласы төсем маршруты бойынша «Батыс-Солтүстік-Орталық» магистральдық газ құбырын салу	|	МГМ, «Самұрық-Қазына» ҰӘҚ» АҚ (келісім бойынша)	|	Өңіраралық	|	«Самұрық-Қазына» ҰӘҚ» АҚ	|	Перспективалық	|	-
50.	|	БҚО-да Қарашығанақ газ өңдеу зауытын салу	|	МГМ, «Самұрық-Қазына» ҰӘҚ» АҚ (келісім бойынша)	|	БҚО	|	«Самұрық-Қазына» ҰӘҚ» АҚ	|	Перспективалық	|	-
51.	|	Маңғыстау облысында полимерлі өнім өндірісі	|	МГМ, «Самұрық-Қазына» ҰӘҚ» АҚ (келісім бойынша)	|	Маңғыстау облысы	|	«Бірлескен химия компаниясы» ЖШС	|	Перспективалық	|	-
52.	|	Атырау облысында полимерлі өнім өндірісі	|	МГМ, «Самұрық-Қазына» ҰӘҚ» АҚ (келісім бойынша)	|	Атырау облысы	|	«Бірлескен химия компаниясы» ЖШС	|	Перспективалық	|	-
53.	|	Шымкент МӨЗ-ін реконструкциялау және жаңғырту	|	МГМ, «Самұрық-Қазына» ҰӘҚ» АҚ (келісім бойынша)	|	ОҚО	|	«ҚазМұнайГаз» ҰК» АҚ	|	Перспективалық	|	-
54.	|	Павлодар мұнай-химия зауытын реконструкциялау және жаңғырту	|	МГМ, «Самұрық-Қазына» ҰӘҚ» АҚ (келісім бойынша)	|	Павлодар облысы	|	«ҚазМұнайГаз» ҰК» АҚ	|	Перспективалық	|	-
55.	|	Үшхлорлы фосфор өндірісі	|	ИЖТМ, «Самұрық-Қазына» ҰӘҚ» АҚ (келісім бойынша)	|	Жамбыл облысы	|	«Бірлескен химия компаниясы» ЖШС	|	Перспективалық	|	-
56.	|	Глифосат (гербицид) өндірісі	|	ИЖТМ, «Самұрық-Қазына» ҰӘҚ» АҚ (келісім бойынша)	|	Жамбыл облысы	|	«Бірлескен химия компаниясы» ЖШС	|	Перспективалық	|	-
57.	|	Каустикалық сода және хлор өндірісі	|	ИЖТМ, «Самұрық-Қазына» ҰӘҚ» АҚ (келісім бойынша)	|	Жамбыл облысы	|	«Бірлескен химия компаниясы» ЖШС	|	Перспективалық	|	-
58.	|	Ерейментау қаласы ауданында перспективада 300 МВт дейін кеңейте отырып, қуаты 50 МВт ЖелЭС-ін салу	|	ИЖТМ, «Самұрық-Қазына» ҰӘҚ» АҚ (келісім бойынша)	|	Ақмола облысы	|	«Самұрық-Энерго» АҚ	|	Перспективалық	|	-
59.	|	Перспективада 300 МВт дейін кеңейте отырып, Шелек дәлізінде қуаты 60 МВт ЖелЭС-ін салу	|	ИЖТМ, «Самұрық-Қазына» ҰӘҚ» АҚ (келісім бойынша)	|	Алматы облысы	|	«Самұрық-Энерго» АҚ	|	Перспективалық	|	-
60.	|	Рельсті арқалық зауыты	|	ИЖТМ, «Самұрық-Қазына» ҰӘҚ» АҚ (келісім бойынша)	|	Ақтөбе облысы	|	«Қазақстан темiр жолы» ҰК» АҚ	|	Перспективалық	|	-


* iске асырылуы республикалық бюджеттен қаражат бөлуге де байланысты жобалар бойынша тиiстi кезеңдерге арналған республикалық бюджетте көзделген қаражат көлемiне орай нақтыланатын болады

Ескертпе: аббревиатуралардың толық жазылуы: ИЖТМ                      - Қазақстан Республикасы Индустрия және жаңа технологиялар министрлiгi ККМ                       - Қазақстан Республикасы Көлiк және коммуникация министрлiгi МГМ                       - Қазақстан Республикасы Мұнай және газ министрлiгi ӨДМ                       - Қазақстан Республикасы Өңірлік даму министрлігі ҰҒА                       - Қазақстан Республикасы Ұлттық ғарыш агенттiгi «ҚазМұнайГаз» ҰК» АҚ      - «ҚазМұнайГаз» ұлттық компаниясы» акционерлiк қоғамы «Самұрық-Қазына» ҰӘҚ» АҚ  - «Самұрық-Қазына» ұлттық әл-ауқат қоры» акционерлiк қоғамы ШҚО                       - Шығыс Қазақстан облысы ОҚО                       - Оңтүстiк Қазақстан облысы ӘКК                       - әлеуметтiк-кәсiпкерлiк корпорация МӨЗ                       - мұнай өңдеу зауыты КҚЗ                       - күкiрт қышқылы зауыты ЖЭС                       - жылу электр станциясы КБК                       - кен байыту комбинаты ҒЗК                       - ғарыш зымыран кешенi ГЭС                       - су электр станциясы МАЭС                      - мемлекеттiк аудандық электр станциясы ЖЭО                       - жылу электр орталығы ҰЭЖ                       - ұлттық электр жүйесi АҚ                        - акционерлiк қоғам БК                        - бiрлескен кәсiпорын ЖШС                       - жауапкершiлiгi шектеулi серiктестiк «Қазақстан темiр жолы»    - «Қазақстан темiр жолы» ұлттық ҰК» АҚ                      компаниясы» акционерлiк қоғамы «Қазатомөнеркәсiп» ҰАК»   - «Қазатомөнеркәсiп» ұлттық атом АҚ                          компаниясы» акционерлiк қоғамы» «Тау-Кен Самұрық» ҰТК» АҚ - «Тау-Кен Самұрық» ұлттық тау-кен компаниясы» акционерлiк қоғамы БҚО                       - Батыс Қазақстан облысы ЖелЭС                     - жел электр станциясы

