Қордай аудандық мәслихаты ШЕШТІ:

1. "2021-2023 жылдарға арналған аудандық бюджет туралы" Қордай аудандық мәслихатының 2020 жылғы 21 желтоқсандағы №79-3 шешіміне (нормативтік құқықтық актілерді мемлекеттік тіркеу тізілімінде № 4848 болып тіркелген) келесідей өзгерістер енгізілсін:

1 тармақ жаңа редакцияда жазылсын:

1. 2021-2023 жылдарға арналған аудандық бюджет тиісінше осы шешімнің қосымшасына сәйкес, оның ішінде 2021 жылға келесідей көлемдерде бекітілсін:

1) кірістер – 24 694 026 мың теңге, оның ішінде:

салықтық түсімдер – 3 503 133 мың теңге;

салықтық емес түсімдер – 19 212 мың теңге;

негізгі капиталды сатудан түсетін түсімдер – 161 515 мың теңге;

трансферттер түсiмі – 21 010 166 мың теңге;

2) шығындар – 25 040 184 мың теңге;

5) бюджет тапшылығы (профициті) – - 384 208 мың теңге;

6) бюджет тапшылығын қаржыландыру (профицитін пайдалану) – 384 208 мың теңге, оның ішінде:

қарыздар түсімі – 410 803 мың теңге.

Аталған шешімнің 1 қосымшасы осы шешімнің қосымшасына сәйкес жаңа редакцияда мазмұндалсын.

2. Осы шешім 2021 жылдың 1 қаңтарынан қолданысқа енгізіледі.


Қордай аудандық мәслихат
сессиясының төрағасы	|	Э. Курумбаев
Қордай аудандық
мәслихатының хатшысы	|	Н. Садыков



	|	Қордай аудандыдықмәслихатының2020 жылғы21 желтоқсандағы № 73-2шешіміне 1 қосымшасы
	|	Қордай аудандыдықмәслихатының2021 жылғы15 маусымдағы № 9-2шешіміне1 қосымшасы

2021 жылға арналған аудандық бюджет

Санаты	|	Сомасы (мың теңге)
	|	Сыныбы
	|		|	Ішкі сыныбы
	|		|		|	Атауы
1	|	2	|	3	|	4	|	5
	|		|	007	|	Әртүрлi спорт түрлерi бойынша аудан (облыстық маңызы бар қала) құрама командаларының мүшелерiн дайындау және олардың облыстық спорт жарыстарына қатысуы	|	10000
	|	466	|		|	Ауданның (облыстық маңызы бар қаланың) сәулет, қала құрылысы және құрылыс бөлімі	|	379799
	|		|	008	|	Спорт объектілерін дамыту	|	379799
	|	455	|		|	Ауданның (облыстық маңызы бар қаланың) мәдениет және тілдерді дамыту бөлімі	|	117189
	|		|	006	|	Аудандық (қалалық) кiтапханалардың жұмыс iстеуi	|	97702
	|		|	007	|	Мемлекеттік тілді және Қазақстан халқының басқа да тілдерін дамыту	|	19487
	|	456	|		|	Ауданның (облыстық маңызы бар қаланың) ішкі саясат бөлімі	|	50000
	|		|	002	|	Мемлекеттік ақпараттық саясат жүргізу жөніндегі қызметтер	|	50000
	|	455	|		|	Ауданның (облыстық маңызы бар қаланың) мәдениет және тілдерді дамыту бөлімі	|	13774
	|		|	001	|	Жергілікті деңгейде тілдерді және мәдениетті дамыту саласындағы мемлекеттік саясатты іске асыру жөніндегі қызметтер	|	11774
	|		|	032	|	Ведомстволық бағыныстағы мемлекеттік мекемелер мен ұйымдардың күрделі шығыстары	|	2000
	|	456	|		|	Ауданның (облыстық маңызы бар қаланың) ішкі саясат бөлімі	|	98746
	|		|	001	|	Жергілікті деңгейде ақпарат, мемлекеттілікті нығайту және азаматтардың әлеуметтік сенімділігін қалыптастыру саласында мемлекеттік саясатты іске асыру жөніндегі қызметтер	|	22233
	|		|	003	|	Жастар саясаты саласында іс-шараларды іске асыру	|	74741
	|		|	032	|	Ведомстволық бағыныстағы мемлекеттік мекемелер мен ұйымдардың күрделі шығыстары	|	1772
09	|		|		|	Отын-энергетика кешенi және жер қойнауын пайдалану	|	24706
	|	458	|		|	Ауданның (облыстық маңызы бар қаланың) тұрғын үй-коммуналдық шаруашылығы, жолаушылар көлігі және автомобиль жолдары бөлімі	|	24706
	|		|	036	|	Газ тасымалдау жүйесін дамыту	|	24706
10	|		|		|	Ауыл, су, орман, балық шаруашылығы, ерекше қорғалатын табиғи аумақтар, қоршаған ортаны және жануарлар дүниесін қорғау, жер қатынастары	|	145084
	|	462	|		|	Ауданның (облыстық маңызы бар қаланың) ауыл шаруашылығы бөлімі	|	23845
	|		|	001	|	Жергілікті деңгейде ауыл шаруашылығы саласындағы мемлекеттік саясатты іске асыру жөніндегі қызметтер	|	23845
	|	466	|		|	Ауданның (облыстық маңызы бар қаланың) сәулет, қала құрылысы және құрылыс бөлімі	|	22000
	|		|	010	|	Ауыл шаруашылығы объектілерін дамыту	|	22000
	|	453	|		|	Ауданның (облыстық маңызы бар қаланың) экономика және бюджеттік жоспарлау бөлімі	|	36944
	|		|	099	|	Мамандарға әлеуметтік қолдау көрсету жөніндегі шараларды іске асыру	|	36944
	|	463	|		|	Ауданның (облыстық маңызы бар қаланың) жер қатынастары бөлімі	|	62295
	|		|	001	|	Аудан (облыстық маңызы бар қала) аумағында жер қатынастарын реттеу саласындағы мемлекеттік саясатты іске асыру жөніндегі қызметтер	|	21690
	|		|	003	|	Елдi мекендердi жер-шаруашылық орналастыру	|	16040
	|		|	113	|	Төменгі тұрған бюджеттерге берілетін нысаналы ағымдағы трансферттер	|	24565
11	|		|		|	Өнеркәсіп, сәулет, қала құрылысы және құрылыс қызметі	|	59235
	|	466	|		|	Ауданның (облыстық маңызы бар қаланың) сәулет, қала құрылысы және құрылыс бөлімі	|	59235
	|		|	001	|	Құрылыс, облыс қалаларының, аудандарының және елді мекендерінің сәулеттік бейнесін жақсарту саласындағы мемлекеттік саясатты іске асыру және ауданның (облыстық маңызы бар қаланың) аумағында оңтайла және тиімді қала құрылыстық игеруді қамтамасыз ету жөніндегі қызметтер	|	44235
	|		|	013	|	Аудан аумағында қала құрысын дамытудың кешенді схемаларын, аудандық облыстық маңызы бар қаланың, кенттердің және өзгеде ауылдық елді мекендердің бас жоспарын әзірлеу	|	15000
12	|		|		|	Көлiк және коммуникация	|	594345
	|	458	|		|	Ауданның (облыстық маңызы бар қаланың) тұрғын үй-коммуналдық шаруашылығы, жолаушылар көлігі және автомобиль жолдары бөлімі	|	594345
	|		|	023	|	Автомобиль жолдарының жұмыс істеуін қамтамасыз ету	|	430812
	|		|	045	|	Аудандық маңызы бар автомобиль жолдарын және елді-мекендердің көшелерін күрделі және орташа жөндеу	|	163533
13	|		|		|	Басқалар	|	605050
	|	452	|		|	Ауданның (облыстық маңызы бар қаланың) қаржы бөлімі	|	30615
	|		|	012	|	Ауданның (облыстық маңызы бар қаланың) жергілікті атқарушы органының резерві	|	30615
	|	466	|		|	Ауданның (облыстық маңызы бар қаланың) сәулет, қала құрылысы және құрылыс бөлімі	|	574435
	|		|	026	|	"Бизнестің жол картасы-2025" бизнесті қолдау мен дамытудың мемлекеттік бағдарламасының атуы шеңберінде индустриялық инфрақұрылымды дамыту	|	82657
	|		|	079	|	"Ауыл-Ел бесігі" жобасы шеңберінде ауылдық елді мекендердегі әлеуметтік және инженерлік инфрақұрылымдарды дамыту	|	491778
14	|		|		|	Борышқа қызмет көрсету	|	72
	|	452	|		|	Ауданның (облыстық маңызы бар қаланың) қаржы бөлім	|	72
	|		|	013	|	Жергілікті атқарушы органдардың облыстық бюджеттен қарыздар бойынша сыйақылар мен өзге де төлемдерді төлеу бойынша борышына қызмет көрсету	|	72
15	|		|		|	Трансферттер	|	14982097
	|	452	|		|	Ауданның (облыстық маңызы бар қаланың) қаржы бөлімі	|	14982097
	|		|	006	|	Нысаналы пайдаланылмаған (толық пайдаланылмаған) трансферттерді қайтару	|	240
	|		|	024	|	Заңнаманы өзгертуге байланысты жоғары тұрған бюджеттің шығындарын өтеуге төменгі тұрған бюджеттің ағымды нысаналы трансферттер	|	14682230
	|		|	038	|	Субвенциялар	|	299627
	|		|		|	3. Таза бюджеттік кредиттеу	|	38050
	|		|		|	Бюджеттік кредиттер	|	38050
10	|		|		|	Ауыл, су, орман, балық шаруашылығы, ерекше қорғалатын табиғи аумақтар, қоршаған ортаны және жануарлар дүниесін қорғау, жер қатынастары	|	87510
	|	453	|		|	Ауданның (облыстық маңызы бар қаланың) экономика және бюджеттік жоспарлау бөлімі	|	87510
	|		|	006	|	Мамандарды әлеуметтік қолдау шараларын іске асыру үшін бюджеттік кредиттер	|	87510
СанатыСыныбы	|	Атауы	|	Сомасы, мың теңге
Ішкі сыныбы
1	|	2	|	3
5	|		|		|	Бюджеттік кредиттерді өтеу	|	49460
