Қазақстан Республикасы Үкіметінің 2008 жылғы 11 маусымдағы № 573 қаулысымен бекітілген "Болашақ" халықаралық стипендиясын тағайындау үшін үміткерлерді іріктеу және "Болашақ" халықаралық стипендиясын жұмсау бағыттарын айқындау қағидаларын іске асыру мақсатында БҰЙЫРАМЫН:

1. Осы бұйрыққа қосымшаға сәйкес 2020 жылға "Болашақ" халықаралық стипендиясын тағайындау конкурсы жеңімпаздарының оқуы, тілдік курстардан өтуі үшін ұсынылатын шетелдік жетекші жоғары оқу орындарының, шетелдік ұйымдардың тізімі бекітілсін.

2. Қазақстан Республикасы Білім және ғылым министрлігінің Халықаралық ынтымақтастық департаменті Қазақстан Республикасының заңнамасында белгіленген тәртіппен:

1) осы бұйрықтың Қазақстан Республикасының Әділет министрлігінде мемлекеттік тіркелуін;

2) осы бұйрық ресми жарияланғаннан кейін оны Қазақстан Республикасы Білім және ғылым министрлігінің интернет-ресурсында орналастыруды;

3) осы бұйрық Қазақстан Республикасы Әділет министрлігінде мемлекеттік тіркелген күннен бастап он жұмыс күні ішінде Қазақстан Республикасы Білім және ғылым министрлігінің Заң департаментіне осы тармақтың 1) және 2) тармақшаларында көзделген іс-шаралардың орындалуы туралы мәліметтерді ұсынуды қамтамасыз етсін.

3. Осы бұйрықтың орындалуын бақылау Қазақстан Республикасының Білім және ғылым жетекшілік ететін вице-министріне жүктелсін.

4. Осы бұйрық алғашқы ресми жарияланған күнінен бастап қолданысқа енгізіледі.


Қазақстан РеспубликасыныңБілім және ғылым министрі	|	А. Аймагамбетов



	|	Қазақстан РеспубликасыБілім және ғылым министрінің2020 жылғы 13 шілдедегі№ 295 бұйрығынақосымша

2020 жылға арналған "Болашақ" халықаралық стипендиясын тағайындау конкурсы жеңімпаздарының оқуы, тілдік курстан өтуі үшін ұсынылатын шетелдік жетекші оқу орындары, шетелдік ұйымдар тізімі

№	|	Жоғары оқу орындарының, шетелдік ұйымдардың атауы	|	Орналасқан жері	|	Интернеттегі мекенжайы
129.	|	Париж-Сакле университеті(Université Paris-Sud)	|	Франция Республикасы	|	http:// www. u- psud. fr/
130.	|	Сорбонна университеті(Sorbonne University)	|	Франция Республикасы	|	www. sor bonn e- uni vers ite. fr/ en
131.	|	Базель университеті(University of Basel)	|	Швейцария Конфедерациясы	|	https:// www. unibas. ch/ de
132.	|	Берн университеті(University of Bern)	|	Швейцария Конфедерациясы	|	https:// www. unibe. ch/ index_ eng. html
133.	|	Женева университеті(University of Geneva)	|	Швейцария Конфедерациясы	|	https:// www. unige. ch/ en/ uni vers ity/ pre sent atio n/
134.	|	Лозанна федералдық политехникалық мектебі(EPFL - Ecole Polytechnique Federale de Lausanne)	|	Швейцария Конфедерациясы	|	https:// www. epfl. ch/ en/
135.	|	Цюрих университеті(University of Zurich)	|	Швейцария Конфедерациясы	|	https:// www. uzh. ch/ en. html
136.	|	Швейцариялық Цюрих жоғарғы техникалық мектебі(ETH Zurich - Swiss Federal Institute of Technology)	|	Швейцария Конфедерациясы	|	https:// ethz. ch/ en. html
137.	|	Киото университеті(Kyoto University)	|	Жапония мемлекеті	|	https:// www. kyoto- u. ac. jp/ en/
138.	|	Токио университеті(University of Tokyo)	|	Жапония мемлекеті	|	www. u- tokyo. ac. jp
2. "Болашақ" халықаралық стипендиясы иегерлерінің тілдік курстардан өтуі үшін шетелдік ұйымдар
1	|	Квинсленд университеті жанындағы үздіксіз білім беру және басқа тілді адамдарға ағылшын тілін үйрету институты(Institute of Continuing & TESOL Education, University of Queensland)	|	Аустралия одағы(Аустралия)	|	https:// icte. uq. edu. au/ study/ uq- pat hway s- and- support/ aca demi c- com muni cati on- skills- acs
2	|	Монаш колледжі(Monash College, Monash University)	|	Аустралия одағы(Аустралия)	|	https:// www. mon ashc olle ge. edu. au/ courses/ english/ int rodu ctor y- aca demi c- program
3	|	Жаңа Оңтүстік Уэльс университеті(University of New South Wales)	|	Аустралия одағы(Аустралия)	|	https:// student. unsw. edu. au/ ready
4	|	Хоторн-Мельбурн(Hawthorn-Melbourne)	|	Аустралия одағы(Аустралия)	|	1)http:// www. haw thor neng lish. edu. au/ english- lan guag e- courses/ umelbp/2)http:// www. haw thor neng lish. edu. au/ english- lan guag e- courses/ iap/
5	|	Сидней университеті жанындағы ағылшын тілін оқыту орталығы(Center for English Teaching, University of Sydney)	|	Аустралия одағы(Аустралия)	|	http:// sydney. edu. au/ cet/ gra duat e- aca demi c- skills. html
6	|	Scuola Leonardo da Vinci итальян тіл мектебі(Scuola Leonardo da Vinci)	|	Италия Республикасы	|	https:// www. scu olal eona rdo. com/ ack nowl edge ment s- and- col labo rati ons. html
7	|	Dilit International House итальян тіл мектебі(Dilit International House)	|	Италия Республикасы	|	https:// www. dilit. it
8	|	Альберт университеті(University of Alberta)	|	Канада	|	www. ual bert a. ca
9	|	Британиялық Колумбия университеті (University of British Columbia)	|	Канада	|	www. ubc. ca
10	|	Торонто университеті(University of Toronto)	|	Канада	|	www. uto ront o. ca
11	|	KU Leuven университеті жанындағы тіл мектебі(KU Leuven Language Institue)	|	Бельгия Корольдігі	|	https:// ilt. kul euve n. be/ english/
12	|	Studioskolen тіл мектебі(Studioskolen)	|	Дания Корольдігі	|	https:// www. stu dies kole n. dk/ en
13	|	Ail Madrid тіл мектебі(Ail madrid)	|	Испания Корольдігі	|	https:// www. ail madr id. com/ en/ about- ail/ our- school
14	|	International House Valencia тіл мектебі(International House Valencia)	|	Испания Корольдігі	|	https:// www. esp anol e. es/
15	|	Лейден Университеті жанындағы академиялық тіл орталығы(Academic Language Centre, Leiden University)	|	Нидерланд Корольдігі	|	www. hum. leiden. edu/ lan guag ecen tre/
16	|	Амстердам Университеті жанындағы UvA Talen мектебі(UvA Talen, University of Amsterdam)	|	Нидерланд Корольдігі	|	https:// www. uva tale n. nl/ en/ about- uva- talen
17	|	Эразма Роттемдам Университеті жанындағы тіл және оқу орталығы(Language and Training Center, Erasmus University of Rotterdam)	|	Нидерланд Корольдігі	|	https:// www. eur. nl/ en/ edu cati on/ lan guag e- tra inin g- centre
18	|	Гронинген университеті жанындағы тіл орталығы(Language Center, University of Groningen)	|	Нидерланд Корольдігі	|	https:// www. rug. nl/ lan guag e- centre/ about- us/
