РҚАО-ның ескертпесі. 

Құжаттың мәтінінде түпнұсқаның пунктуациясы мен орфографиясы сақталған. 

Қазақстан Республикасының 2008 жылғы 4 желтоқсандағы Бюджет кодексінің
106 бабының 4 тармағына және "Қазақстан Республикасындағы жергілікті мемлекеттік басқару және өзін-өзі басқару туралы" Қазақстан Республикасының 2001 жылғы 23 қаңтардағы Заңының
6 бабына сәйкес аудандық мәслихат ШЕШІМ ҚАБЫЛДАДЫ:

1.
"2015 – 2017 жылдарға арналған аудандық бюджет туралы" Қордай аудандық маслихатының 2014 жылғы 22 желтоқсандағы
№37-3 шешіміне (нормативтік құқықтық актілерді мемлекеттік тіркеу Тізілімінде
№2449 болып тіркелген, 2014 жылдың 31 желтоқсанында №205-206 аудандық "Қордай шамшырағы" - "Кордайский маяк" газетінде жарияланған) келесі өзгерістер енгізілсін:


аталған шешімнің
1 және
5 қосымшалары осы шешімнің
1 және
2 қосымшаларына сәйкес жаңа редакцияда мазмұндалсын.

2.
Осы шешім әділет органдарында мемлекеттік тіркеуден өткен күннен бастап күшіне енеді және 2015 жылдың 1 қаңтарынан қолданысқа енгізіледі.


Аудандық мәслихат	|	Аудандық
сессиясының төрайымы	|	мәслихаттың хатшысы
Г. Айтқұлова	|	Б. Әлімбет




	|	Қордай аудандық мәслихатының2015 жылғы 15 мамырдағы№41-5 шешіміне 1 – қосымша
	|	Қордай аудандық мәслихатының2014 жылғы 22 желтоқсандағы№37-3 шешіміне 1 – қосымша

2015 жылға арналған аудандық бюджет

Санаты	|	Сомасы, мың теңге
Сыныбы Ішкі сыныбы Атауы
1	|	2	|	3	|	4	|	5
	|		|	001	|	Жергілікті деңгейде халық үшін әлеуметтік бағдарламаларды жұмыспен қамтуды қамтамасыз етуді іске асыру саласындағы мемлекеттік саясатты іске асыру жөніндегі қызметтер	|	31889
	|		|	011	|	Жәрдемақыларды және басқа да әлеуметтік төлемдерді есептеу, төлеу мен жеткізу бойынша қызметтерге ақы төлеу	|	2800
	|		|	021	|	Мемлекеттік органның күрделі шығыстары	|	470
	|		|	025	|	Өрлеу жобасы бойынша келісілген қаржылай көмекті енгізу	|	65703
	|	458	|		|	Ауданның (облыстық маңызы бар қаланың) тұрғын үй-коммуналдық шаруашылығы, жолаушылар көлігі және автомобиль жолдары бөлімі	|	1849
	|		|	050	|	Мүгедектердің құқықтарын қамтамасыз ету және өмір сүру сапасын жақсарту жөніндегі іс-шаралар жоспарын іске асыру	|	1849
07	|		|		|	Тұрғын үй-коммуналдық шаруашылық	|	612010
	|	455	|		|	Ауданның (облыстық маңызы бар қаланың) мәдениет және тілдерді дамыту бөлімі	|	4533
	|		|	024	|	Жұмыспен қамту 2020 жол картасы бойынша қалаларды және ауылдық елді мекендерді дамыту шеңберінде объектілерді жөндеу	|	4533
	|	458	|		|	Ауданның (облыстық маңызы бар қаланың) тұрғын үй-коммуналдық шаруашылығы, жолаушылар көлігі және автомобиль жолдары бөлімі	|	4704
	|		|	033	|	Инженерлік-коммуникациялық инфрақұрылымды жобалау, дамыту, жайластыру және (немесе) сатып алу	|	4704
	|	466	|		|	Ауданның (облыстық маңызы бар қаланың) сәулет, қала құрылысы және құрылыс бөлімі	|	256341
	|		|	003	|	Мемлекеттік коммуналдық тұрғын үй қорының тұрғын үйін жобалау, салу және (немесе) сатып алу	|	164967
	|		|	004	|	Инженерлік коммуникациялық инфрақұрылымды жобалау, дамыту, жайластыру және (немесе) сатып алу	|	91374
	|	123	|		|	Қаладағы аудан, аудандық маңызы бар қала, кент, ауыл, ауылдық округ әкімінің аппараты	|	1207
	|		|	014	|	Елді мекендерді сумен жабдықтауды ұйымдастыру	|	1207
	|	458	|		|	Ауданның (облыстық маңызы бар қаланың) тұрғын үй-коммуналдық шаруашылығы, жолаушылар көлігі және автомобиль жолдары бөлімі	|	49888
	|		|	012	|	Сумен жабдықтау және су бұру жүйесінің жұмыс істеуі	|	49888
	|	466	|		|	Ауданның (облыстық маңызы бар қаланың) сәулет, қала құрылысы және құрылыс бөлімі	|	177652
	|		|	058	|	Елді мекендердегі сумен жабдықтау және су бұру жүйелерін дамыту	|	177652
	|	123	|		|	Қаладағы аудан, аудандық маңызы бар қала, кент, ауыл, ауылдық округ әкімінің аппараты	|	84889
	|		|	008	|	Елді мекендерде көшелерді жарықтандыру	|	42017
	|		|	009	|	Елді мекендердің санитариясын қамтамасыз ету	|	1922
